codbarras;descricao;datinc;qtd
7896062800145;Água Pureza Vital c/ Gás 500mL;2015-04-02 17:21:52;4
;Vazio;2015-04-02 17:20:39;NULL
 ;1 espaço;NULL;NULL
7896806400112;Água Clara 1,5L;2015-04-02 17:08:24;2
7622300842208;Trident #CobriuATerraToda;2015-04-02 17:08:55;2
7896468700070;Água Fonte da Ilha 500mL;2015-04-02 17:17:55;2
7899234893006;Sapatilha Georgia Almeida;2015-04-02 17:19:20;13
SPN5776A;SPN5776A;2015-04-09 14:27:19;1
003583784;Pallet id 003583784;2015-04-08 17:23:39;19
6;6;2015-04-09 11:53:04;3
NC020700000000001663;NC020700000000001663;2015-04-09 14:26:51;2
105001000;105001000;2015-04-09 14:27:00;6
PX0Q1A5092811;PX0Q1A5092811;2015-04-09 09:46:48;2
1;1;2015-04-09 10:51:37;10
5;5;2015-04-09 09:46:09;5
78983969601207898396960120;78983969601207898396960120;2015-04-09 09:42:38;4
////7898396960120;////7898396960120;2015-04-09 09:46:29;1
789839696012078983969601207898396960120;789839696012078983969601207898396960120;2015-04-09 09:46:38;1
7898396960120;Alcool MEGA;2015-04-09 09:42:37;18
1232630253;1232630253;2015-04-08 17:58:09;13
13030702898;13030702898;2015-04-08 17:57:56;3
1200353712003537;1200353712003537;2015-04-08 17:57:51;1
790069333989;ADSL2+Ethernet Router;2015-04-08 14:10:21;21
7896045504688;TESTE RL4;2015-04-08 13:52:27;9
07891000071403;Ninho Fortificado Instantâneo 12x800g;NULL;14
7897013522543;7897013522543;2015-04-08 17:57:18;3
7898378252182;DC-3200;2015-04-08 17:19:25;12
7898910095161;7898910095161;2015-04-08 17:57:00;6
7898939550542;No Break Mini III;2015-04-08 14:04:33;8
46L42US20P02;46L42US20P02 produto ELGIN;2015-04-08 13:54:54;6
000026403493;TNT Mercurio;2015-04-08 14:05:17;7
1190.A0.006100034636;No Break Mini III Bivolt;2015-04-08 14:05:25;4
07891000070772;Ninho Fortificado Integral 12x800g;2015-04-08 14:07:22;17
8426983564902;Panda Antivírus;2015-04-08 13:49:27;1
7897013542756;Impressora ELGIN L42;2015-04-08 13:53:01;21
12003537;L42 #12003537;2015-04-08 13:54:06;5
42;A resposta para vida o universo e tudo mais!;NULL;2
310300500092123817103003324;Mantenha em Local Fresco e Seco;2015-04-08 11:41:55;11
17891515974517;Motadela Perdigão Cx 10;2015-04-08 11:42:00;10
0100368306474100342540001001;0100368306474100342540001001;2015-04-08 17:56:09;5
(01)07898485770241;(01)07898485770241;2015-04-08 17:56:03;10
901004210;901004210;2015-04-08 17:55:46;5
SBR2012082229657;SBR2012082229657;2015-04-09 14:28:25;5
SBR2012082229657SBR2012082229657;SBR2012082229657SBR2012082229657;2015-04-09 14:28:31;1
SBR2012082229657SBR2012082229657SBR2012082229657;SBR2012082229657SBR2012082229657SBR2012082229657;2015-04-09 14:28:31;1
724BP1ZTTND9;724BP1ZTTND9;2015-04-09 14:28:35;2
050573;050573;2015-04-09 14:29:23;2
;;2015-04-09 15:05:30;1
26CR01172;26CR01172;2015-04-09 15:31:44;3
7898185917946;7898185917946;2015-04-09 15:31:50;1
ISL500BZBR9..T1G;ISL500BZBR9..T1G;2015-04-09 15:32:03;1
(01)07898485770241(01)07898485770241;(01)07898485770241(01)07898485770241;2015-04-09 16:31:36;3
(01)07898485770241(01)07898485770241(01)07898485770241;(01)07898485770241(01)07898485770241(01)07898485770241;2015-04-09 16:31:36;2
(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241;(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241;2015-04-09 16:31:37;2
(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241;(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241;2015-04-09 16:31:38;2
(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241;(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241(01)07898485770241;2015-04-09 16:31:38;1
790069333989790069333989;790069333989790069333989;2015-04-09 16:31:55;1
003583784003583784;003583784003583784;2015-04-09 16:31:59;1
003583784003583784003583784;003583784003583784003583784;2015-04-09 16:31:59;2
003583784003583784003583784003583784003583784;003583784003583784003583784003583784003583784;2015-04-09 16:32:00;1
003583784003583784003583784003583784;003583784003583784003583784003583784;2015-04-09 16:32:02;1
40768772;40768772;2015-04-09 16:32:13;2
885370636413;885370636413;2015-04-09 16:39:12;4
000000009624898;000000009624898;2015-04-09 16:39:19;1
MMT4WNBM08441663;MMT4WNBM08441663;2015-04-09 16:39:42;2
7891035210006;7891035210006;2015-04-09 17:10:32;3
;;2015-04-10 14:47:02;1
;;2015-04-10 14:47:02;1
;;2015-04-10 14:47:04;1
;;2015-04-10 14:47:05;1
;;2015-04-10 14:47:05;1
;;2015-04-10 14:47:06;1
;;2015-04-10 14:47:07;1
;;2015-04-10 14:47:08;1
;;2015-04-10 14:47:08;1
790069367878;790069367878;2015-04-10 15:08:21;1
789646870070;789646870070;2015-04-10 15:09:08;1
05113010105103002174;05113010105103002174;2015-04-10 16:07:21;1
2;2;2015-05-06 17:30:17;2
1212;1212;2015-05-06 17:30:20;2
12;12;2015-05-06 17:30:22;4
;;2015-05-06 17:30:26;1
LTCC;LTCC;2015-05-06 17:36:20;1
6438158132115;6438158132115;2015-05-06 17:36:28;3
012126008401605;012126008401605;2015-05-06 17:36:32;4
AGNK234C2000;AGNK234C2000;2015-05-06 17:36:33;4
2000;2000;2015-05-06 17:36:34;1
430014500;430014500;2015-05-06 17:36:43;4
00;00;2015-05-06 17:36:44;1
0;0;2015-05-06 17:36:44;1
014500;014500;2015-05-06 17:36:45;1
